ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang)
SrHfO3,1.0,1,Sr,Hf,O,2,4,-2,1.44,0.71,1.4
NaHgI3,-1.0,1,Na,Hg,I,1,2,-1,1.39,1.02,2.2
HgSeO3,-1.0,1,Hg,Se,O,2,4,-2,1.14,0.5,1.4
HgTiO3,1.0,1,Hg,Ti,O,2,4,-2,1.14,0.6,1.4
HoNiO3,1.0,1,Ho,Ni,O,3,3,-2,1.12,0.6,1.4
HoScO3,1.0,1,Ho,Sc,O,3,3,-2,1.12,0.74,1.4
HoTiO3,1.0,1,Ho,Ti,O,3,3,-2,1.12,0.67,1.4
ILiO3,-1.0,1,I,Li,O,5,1,-2,0.95,0.76,1.4
NaIO3,1.0,1,Na,I,O,1,5,-2,1.39,0.95,1.4
TlIO3,1.0,1,Tl,I,O,1,5,-2,1.7,0.95,1.4
KMgI3,-1.0,1,K,Mg,I,1,2,-1,1.64,0.72,2.2
KMnI3,-1.0,1,K,Mn,I,1,2,-1,1.64,0.83,2.2
KTiI3,-1.0,1,K,Ti,I,1,2,-1,1.64,0.86,2.2
KTmI3,-1.0,1,K,Tm,I,1,2,-1,1.64,1.03,2.2
LiMgI3,-1.0,1,Li,Mg,I,1,2,-1,0.92,0.72,2.2
NaMgI3,-1.0,1,Na,Mg,I,1,2,-1,1.39,0.72,2.2
RbMgI3,-1.0,1,Rb,Mg,I,1,2,-1,1.72,0.72,2.2
RbMnI3,-1.0,1,Rb,Mn,I,1,2,-1,1.72,0.83,2.2
TlMnI3,-1.0,1,Tl,Mn,I,1,2,-1,1.7,0.83,2.2
TlPbI3,-1.0,1,Tl,Pb,I,1,2,-1,1.7,1.19,2.2
RbSnI3,-1.0,1,Rb,Sn,I,1,2,-1,1.72,1.15,2.2
RbTiI3,-1.0,1,Rb,Ti,I,1,2,-1,1.72,0.86,2.2
RbTmI3,1.0,1,Rb,Tm,I,1,2,-1,1.72,1.03,2.2
RbVI3,-1.0,1,Rb,V,I,1,2,-1,1.72,0.79,2.2
RbYbI3,-1.0,1,Rb,Yb,I,1,2,-1,1.72,1.02,2.2
LaInO3,1.0,1,La,In,O,3,3,-2,1.36,0.8,1.4
InMnO3,-1.0,1,In,Mn,O,3,3,-2,0.92,0.64,1.4
NdInO3,1.0,1,Nd,In,O,3,3,-2,1.27,0.8,1.4
SmInO3,1.0,1,Sm,In,O,3,3,-2,1.24,0.8,1.4
SrIrO3,1.0,1,Sr,Ir,O,2,4,-2,1.44,0.62,1.4
KNO3,-1.0,1,K,N,O,1,5,-2,1.64,0.13,1.4
KNbO3,1.0,1,K,Nb,O,1,5,-2,1.64,0.64,1.4
KPO3,-1.0,1,K,P,O,1,5,-2,1.64,0.38,1.4
KSbO3,-1.0,1,K,Sb,O,1,5,-2,1.64,0.6,1.4
KTaO3,1.0,1,K,Ta,O,1,5,-2,1.64,0.64,1.4
KUO3,1.0,1,K,U,O,1,5,-2,1.64,0.76,1.4
KVO3,-1.0,1,K,V,O,1,5,-2,1.64,0.54,1.4
LaLuO3,1.0,1,La,Lu,O,3,3,-2,1.36,0.86,1.4
LaMnO3,1.0,1,La,Mn,O,3,3,-2,1.36,0.64,1.4
LaNiO3,1.0,1,La,Ni,O,3,3,-2,1.36,0.6,1.4
LaScO3,1.0,1,La,Sc,O,3,3,-2,1.36,0.74,1.4
LaTiO3,1.0,1,La,Ti,O,3,3,-2,1.36,0.67,1.4
LaTlO3,-1.0,1,La,Tl,O,3,3,-2,1.36,0.88,1.4
LaTmO3,1.0,1,La,Tm,O,3,3,-2,1.36,0.88,1.4
LaVO3,1.0,1,La,V,O,3,3,-2,1.36,0.64,1.4
LaYO3,1.0,1,La,Y,O,3,3,-2,1.36,0.9,1.4
LaYbO3,1.0,1,La,Yb,O,3,3,-2,1.36,0.87,1.4
LiNO3,-1.0,1,Li,N,O,1,5,-2,0.92,0.13,1.4
LiNbO3,-1.0,1,Li,Nb,O,1,5,-2,0.92,0.64,1.4
LiPO3,-1.0,1,Li,P,O,1,5,-2,0.92,0.38,1.4
LiReO3,-1.0,1,Li,Re,O,1,5,-2,0.92,0.58,1.4
LiSbO3,-1.0,1,Li,Sb,O,1,5,-2,0.92,0.6,1.4
LiTaO3,-1.0,1,Li,Ta,O,1,5,-2,0.92,0.64,1.4
LiVO3,-1.0,1,Li,V,O,1,5,-2,0.92,0.54,1.4
LuMnO3,1.0,1,Lu,Mn,O,3,3,-2,1.03,0.64,1.4
PrLuO3,1.0,1,Pr,Lu,O,3,3,-2,1.18,0.86,1.4
LuTiO3,1.0,1,Lu,Ti,O,3,3,-2,1.03,0.67,1.4
MgSeO3,-1.0,1,Mg,Se,O,2,4,-2,0.89,0.5,1.4
MgSiO3,1.0,1,Mg,Si,O,2,4,-2,0.89,0.4,1.4
MgVO3,-1.0,1,Mg,V,O,2,4,-2,0.89,0.58,1.4
NdMnO3,1.0,1,Nd,Mn,O,3,3,-2,1.27,0.64,1.4
NiMnO3,-1.0,1,Ni,Mn,O,2,4,-2,0.69,0.53,1.4
PrMnO3,1.0,1,Pr,Mn,O,3,3,-2,1.18,0.64,1.4
MnSO3,-1.0,1,Mn,S,O,2,4,-2,0.96,0.37,1.4
MnSiO3,-1.0,1,Mn,Si,O,2,4,-2,0.96,0.4,1.4
SmMnO3,1.0,1,Sm,Mn,O,3,3,-2,1.24,0.64,1.4
SnMnO3,-1.0,1,Sn,Mn,O,2,4,-2,1.15,0.53,1.4
SrMnO3,1.0,1,Sr,Mn,O,2,4,-2,1.44,0.53,1.4
TbMnO3,1.0,1,Tb,Mn,O,3,3,-2,1.1,0.64,1.4
TiMnO3,-1.0,1,Ti,Mn,O,3,3,-2,0.67,0.64,1.4
YbMnO3,1.0,1,Yb,Mn,O,3,3,-2,1.04,0.64,1.4
SrMoO3,1.0,1,Sr,Mo,O,2,4,-2,1.44,0.65,1.4
NaNO3,-1.0,1,Na,N,O,1,5,-2,1.39,0.13,1.4
TlNO3,-1.0,1,Tl,N,O,1,5,-2,1.7,0.13,1.4
NaPO3,-1.0,1,Na,P,O,1,5,-2,1.39,0.38,1.4
NaUO3,1.0,1,Na,U,O,1,5,-2,1.39,0.76,1.4
NaVO3,-1.0,1,Na,V,O,1,5,-2,1.39,0.54,1.4
RbNbO3,1.0,1,Rb,Nb,O,1,5,-2,1.72,0.64,1.4
SrNbO3,1.0,1,Sr,Nb,O,2,4,-2,1.44,0.68,1.4
NdNiO3,1.0,1,Nd,Ni,O,3,3,-2,1.27,0.6,1.4
NdRhO3,1.0,1,Nd,Rh,O,3,3,-2,1.27,0.66,1.4
NdScO3,1.0,1,Nd,Sc,O,3,3,-2,1.27,0.74,1.4
NdTiO3,1.0,1,Nd,Ti,O,3,3,-2,1.27,0.67,1.4
NdVO3,1.0,1,Nd,V,O,3,3,-2,1.27,0.64,1.4
PrNiO3,1.0,1,Pr,Ni,O,3,3,-2,1.18,0.6,1.4
NiSeO3,-1.0,1,Ni,Se,O,2,4,-2,0.69,0.5,1.4
NiTiO3,-1.0,1,Ni,Ti,O,2,4,-2,0.69,0.6,1.4
YNiO3,1.0,1,Y,Ni,O,3,3,-2,1.08,0.6,1.4
RbPO3,-1.0,1,Rb,P,O,1,5,-2,1.72,0.38,1.4
RbPaO3,1.0,1,Rb,Pa,O,1,5,-2,1.72,0.78,1.4
PbSO3,-1.0,1,Pb,S,O,2,4,-2,1.49,0.37,1.4
PbSeO3,-1.0,1,Pb,Se,O,2,4,-2,1.49,0.5,1.4
PbSiO3,-1.0,1,Pb,Si,O,2,4,-2,1.49,0.4,1.4
SrPbO3,1.0,1,Sr,Pb,O,2,4,-2,1.44,0.78,1.4
PbTeO3,-1.0,1,Pb,Te,O,2,4,-2,1.49,0.97,1.4
PbTiO3,1.0,1,Pb,Ti,O,2,4,-2,1.49,0.6,1.4
PrRhO3,1.0,1,Pr,Rh,O,3,3,-2,1.18,0.66,1.4
PrRuO3,1.0,1,Pr,Ru,O,3,3,-2,1.18,0.68,1.4
PrScO3,1.0,1,Pr,Sc,O,3,3,-2,1.18,0.74,1.4
PrTiO3,1.0,1,Pr,Ti,O,3,3,-2,1.18,0.67,1.4
PrVO3,1.0,1,Pr,V,O,3,3,-2,1.18,0.64,1.4
PrYbO3,1.0,1,Pr,Yb,O,3,3,-2,1.18,0.87,1.4
PuVO3,1.0,1,Pu,V,O,4,2,-2,0.96,0.79,1.4
RbTaO3,1.0,1,Rb,Ta,O,1,5,-2,1.72,0.64,1.4
RbVO3,-1.0,1,Rb,V,O,1,5,-2,1.72,0.54,1.4
SmRhO3,1.0,1,Sm,Rh,O,3,3,-2,1.24,0.66,1.4
TbRhO3,1.0,1,Tb,Rh,O,3,3,-2,1.1,0.66,1.4
SrRuO3,1.0,1,Sr,Ru,O,2,4,-2,1.44,0.62,1.4
TlSbO3,-1.0,1,Tl,Sb,O,1,5,-2,1.7,0.6,1.4
SmScO3,1.0,1,Sm,Sc,O,3,3,-2,1.24,0.74,1.4
YScO3,1.0,1,Y,Sc,O,3,3,-2,1.08,0.74,1.4
ZnSeO3,-1.0,1,Zn,Se,O,2,4,-2,0.9,0.5,1.4
SrSiO3,-1.0,1,Sr,Si,O,2,4,-2,1.44,0.4,1.4
ZnSiO3,-1.0,1,Zn,Si,O,2,4,-2,0.9,0.4,1.4
SmVO3,1.0,1,Sm,V,O,3,3,-2,1.24,0.64,1.4
SmYO3,-1.0,1,Sm,Y,O,3,3,-2,1.24,0.9,1.4
SrSnO3,1.0,1,Sr,Sn,O,2,4,-2,1.44,0.69,1.4
ZnSnO3,-1.0,1,Zn,Sn,O,2,4,-2,0.9,0.69,1.4
SrVO3,1.0,1,Sr,V,O,2,4,-2,1.44,0.58,1.4
SrZrO3,1.0,1,Sr,Zr,O,2,4,-2,1.44,0.72,1.4
TbTiO3,1.0,1,Tb,Ti,O,3,3,-2,1.1,0.67,1.4
TeZnO3,-1.0,1,Te,Zn,O,4,2,-2,0.97,0.74,1.4
TmTiO3,1.0,1,Tm,Ti,O,3,3,-2,1.05,0.67,1.4
YTiO3,1.0,1,Y,Ti,O,3,3,-2,1.08,0.67,1.4
YbTiO3,1.0,1,Yb,Ti,O,3,3,-2,1.04,0.67,1.4
ZnTiO3,-1.0,1,Zn,Ti,O,2,4,-2,0.9,0.6,1.4
TlVO3,-1.0,1,Tl,V,O,3,3,-2,0.98,0.64,1.4
YVO3,1.0,1,Y,V,O,3,3,-2,1.08,0.64,1.4
YYbO3,-1.0,1,Y,Yb,O,3,3,-2,1.08,0.87,1.4
AgBiO3,-1.0,-1,Ag,Bi,O,1,5,-2,1.28,0.76,1.4
DyAlO3,1.0,-1,Dy,Al,O,3,3,-2,1.08,0.54,1.4
GdAlO3,1.0,-1,Gd,Al,O,3,3,-2,1.11,0.54,1.4
HoAlO3,1.0,-1,Ho,Al,O,3,3,-2,1.12,0.54,1.4
ScAlO3,1.0,-1,Sc,Al,O,3,3,-2,0.87,0.54,1.4
DyBO3,-1.0,-1,Dy,B,O,3,3,-2,1.08,0.27,1.4
LuBO3,-1.0,-1,Lu,B,O,3,3,-2,1.03,0.27,1.4
SmBO3,-1.0,-1,Sm,B,O,3,3,-2,1.24,0.27,1.4
TiBO3,-1.0,-1,Ti,B,O,3,3,-2,0.67,0.27,1.4
BaLiBr3,-1.0,-1,Ba,Li,Br,2,1,-1,1.61,0.76,1.96
BaNaF3,-1.0,-1,Ba,Na,F,2,1,-1,1.61,1.02,1.33
BaNbO3,1.0,-1,Ba,Nb,O,2,4,-2,1.61,0.68,1.4
BaNiO3,-1.0,-1,Ba,Ni,O,2,4,-2,1.61,0.48,1.4
BaPuO3,1.0,-1,Ba,Pu,O,2,4,-2,1.61,0.86,1.4
BaRuO3,-1.0,-1,Ba,Ru,O,2,4,-2,1.61,0.62,1.4
BaSnO3,1.0,-1,Ba,Sn,O,2,4,-2,1.61,0.69,1.4
BaTeO3,-1.0,-1,Ba,Te,O,2,4,-2,1.61,0.97,1.4
BaZrO3,1.0,-1,Ba,Zr,O,2,4,-2,1.61,0.72,1.4
LiBeCl3,-1.0,-1,Li,Be,Cl,1,2,-1,0.92,0.45,1.81
BiFeO3,1.0,-1,Bi,Fe,O,3,3,-2,1.17,0.64,1.4
CsPbBr3,1.0,-1,Cs,Pb,Br,1,2,-1,1.88,1.19,1.96
PbLiBr3,-1.0,-1,Pb,Li,Br,2,1,-1,1.49,0.76,1.96
CaCO3,-1.0,-1,Ca,C,O,2,4,-2,1.34,0.16,1.4
CuCO3,-1.0,-1,Cu,C,O,2,4,-2,0.73,0.16,1.4
MnCO3,-1.0,-1,Mn,C,O,2,4,-2,0.96,0.16,1.4
CaLiCl3,-1.0,-1,Ca,Li,Cl,2,1,-1,1.34,0.76,1.81
CaCrO3,1.0,-1,Ca,Cr,O,2,4,-2,1.34,0.55,1.4
RbCaF3,1.0,-1,Rb,Ca,F,1,2,-1,1.72,1.0,1.33
CaGeO3,1.0,-1,Ca,Ge,O,2,4,-2,1.34,0.53,1.4
CaMnO3,1.0,-1,Ca,Mn,O,2,4,-2,1.34,0.53,1.4
CaMoO3,1.0,-1,Ca,Mo,O,2,4,-2,1.34,0.65,1.4
CsCdCl3,1.0,-1,Cs,Cd,Cl,1,2,-1,1.88,0.95,1.81
CdCuI3,-1.0,-1,Cd,Cu,I,2,1,-1,1.31,0.77,2.2
CdSnO3,1.0,-1,Cd,Sn,O,2,4,-2,1.31,0.69,1.4
CdTiO3,1.0,-1,Cd,Ti,O,2,4,-2,1.31,0.6,1.4
CeGaO3,1.0,-1,Ce,Ga,O,3,3,-2,1.34,0.62,1.4
CeTiO3,1.0,-1,Ce,Ti,O,4,2,-2,1.14,0.86,1.4
CeTmO3,1.0,-1,Ce,Tm,O,3,3,-2,1.34,0.88,1.4
CeYbO3,1.0,-1,Ce,Yb,O,3,3,-2,1.34,0.87,1.4
NaClO3,-1.0,-1,Na,Cl,O,1,5,-2,1.39,0.12,1.4
CsCoCl3,-1.0,-1,Cs,Co,Cl,1,2,-1,1.88,0.74,1.81
CsMgCl3,-1.0,-1,Cs,Mg,Cl,1,2,-1,1.88,0.72,1.81
CsPbCl3,1.0,-1,Cs,Pb,Cl,1,2,-1,1.88,1.19,1.81
CsZnCl3,-1.0,-1,Cs,Zn,Cl,1,2,-1,1.88,0.74,1.81
CuZnCl3,-1.0,-1,Cu,Zn,Cl,1,2,-1,0.77,0.74,1.81
TlEuCl3,-1.0,-1,Tl,Eu,Cl,1,2,-1,1.7,1.17,1.81
KMgCl3,-1.0,-1,K,Mg,Cl,1,2,-1,1.64,0.72,1.81
KSrCl3,-1.0,-1,K,Sr,Cl,1,2,-1,1.64,1.18,1.81
RbMgCl3,-1.0,-1,Rb,Mg,Cl,1,2,-1,1.72,0.72,1.81
TlMgCl3,-1.0,-1,Tl,Mg,Cl,1,2,-1,1.7,0.72,1.81
TlMnCl3,1.0,-1,Tl,Mn,Cl,1,2,-1,1.7,0.83,1.81
PbNaCl3,-1.0,-1,Pb,Na,Cl,2,1,-1,1.49,1.02,1.81
SrNaCl3,-1.0,-1,Sr,Na,Cl,2,1,-1,1.44,1.02,1.81
RbZnCl3,-1.0,-1,Rb,Zn,Cl,1,2,-1,1.72,0.74,1.81
NaCoF3,1.0,-1,Na,Co,F,1,2,-1,1.39,0.74,1.33
GeCoO3,-1.0,-1,Ge,Co,O,2,4,-2,0.73,0.53,1.4
SmCoO3,1.0,-1,Sm,Co,O,3,3,-2,1.24,0.61,1.4
TbCoO3,1.0,-1,Tb,Co,O,3,3,-2,1.1,0.61,1.4
TlCrF3,1.0,-1,Tl,Cr,F,1,2,-1,1.7,0.8,1.33
HoCrO3,1.0,-1,Ho,Cr,O,3,3,-2,1.12,0.62,1.4
SmCrO3,1.0,-1,Sm,Cr,O,3,3,-2,1.24,0.62,1.4
TbCrO3,1.0,-1,Tb,Cr,O,3,3,-2,1.1,0.62,1.4
CsHgF3,1.0,-1,Cs,Hg,F,1,2,-1,1.88,1.02,1.33
CsPbF3,1.0,-1,Cs,Pb,F,1,2,-1,1.88,1.19,1.33
CsSrF3,1.0,-1,Cs,Sr,F,1,2,-1,1.88,1.18,1.33
CsIO3,1.0,-1,Cs,I,O,1,5,-2,1.88,0.95,1.4
NaCuF3,1.0,-1,Na,Cu,F,1,2,-1,1.39,0.73,1.33
CuSeO3,-1.0,-1,Cu,Se,O,2,4,-2,0.73,0.5,1.4
CuSiO3,-1.0,-1,Cu,Si,O,2,4,-2,0.73,0.4,1.4
TeCuO3,-1.0,-1,Te,Cu,O,4,2,-2,0.97,0.73,1.4
DyScO3,1.0,-1,Dy,Sc,O,3,3,-2,1.08,0.74,1.4
LaErO3,1.0,-1,La,Er,O,3,3,-2,1.36,0.89,1.4
ErRhO3,1.0,-1,Er,Rh,O,3,3,-2,1.06,0.66,1.4
EuRhO3,1.0,-1,Eu,Rh,O,3,3,-2,1.12,0.66,1.4
EuTiO3,1.0,-1,Eu,Ti,O,3,3,-2,1.12,0.67,1.4
RbFeF3,1.0,-1,Rb,Fe,F,1,2,-1,1.72,0.78,1.33
RbHgF3,1.0,-1,Rb,Hg,F,1,2,-1,1.72,1.02,1.33
NaVF3,1.0,-1,Na,V,F,1,2,-1,1.39,0.79,1.33
LuFeO3,1.0,-1,Lu,Fe,O,3,3,-2,1.03,0.64,1.4
NdFeO3,1.0,-1,Nd,Fe,O,3,3,-2,1.27,0.64,1.4
YbFeO3,1.0,-1,Yb,Fe,O,3,3,-2,1.04,0.64,1.4
GdRhO3,1.0,-1,Gd,Rh,O,3,3,-2,1.11,0.66,1.4
ZnGeO3,-1.0,-1,Zn,Ge,O,2,4,-2,0.9,0.53,1.4
KHgI3,-1.0,-1,K,Hg,I,1,2,-1,1.64,1.02,2.2
HgTeO3,-1.0,-1,Hg,Te,O,2,4,-2,1.14,0.97,1.4
LaHoO3,1.0,-1,La,Ho,O,3,3,-2,1.36,0.9,1.4
HoMnO3,1.0,-1,Ho,Mn,O,3,3,-2,1.12,0.64,1.4
HoRhO3,1.0,-1,Ho,Rh,O,3,3,-2,1.12,0.66,1.4
KIO3,1.0,-1,K,I,O,1,5,-2,1.64,0.95,1.4
RbIO3,1.0,-1,Rb,I,O,1,5,-2,1.72,0.95,1.4
MnLiI3,-1.0,-1,Mn,Li,I,2,1,-1,0.96,0.76,2.2
RbPbI3,-1.0,-1,Rb,Pb,I,1,2,-1,1.72,1.19,2.2
YInO3,-1.0,-1,Y,In,O,3,3,-2,1.08,0.8,1.4
KPaO3,1.0,-1,K,Pa,O,1,5,-2,1.64,0.78,1.4
LaRhO3,1.0,-1,La,Rh,O,3,3,-2,1.36,0.66,1.4
LaRuO3,1.0,-1,La,Ru,O,3,3,-2,1.36,0.68,1.4
MgTiO3,-1.0,-1,Mg,Ti,O,2,4,-2,0.89,0.6,1.4
MnSeO3,-1.0,-1,Mn,Se,O,2,4,-2,0.96,0.5,1.4
YMnO3,1.0,-1,Y,Mn,O,3,3,-2,1.08,0.64,1.4
RbNO3,-1.0,-1,Rb,N,O,1,5,-2,1.72,0.13,1.4
NaNbO3,1.0,-1,Na,Nb,O,1,5,-2,1.39,0.64,1.4
NaPaO3,1.0,-1,Na,Pa,O,1,5,-2,1.39,0.78,1.4
NaSbO3,1.0,-1,Na,Sb,O,1,5,-2,1.39,0.6,1.4
NaTaO3,1.0,-1,Na,Ta,O,1,5,-2,1.39,0.64,1.4
NaWO3,1.0,-1,Na,W,O,1,5,-2,1.39,0.62,1.4
SmNiO3,1.0,-1,Sm,Ni,O,3,3,-2,1.24,0.6,1.4
TlNiO3,1.0,-1,Tl,Ni,O,3,3,-2,0.98,0.6,1.4
TmNiO3,1.0,-1,Tm,Ni,O,3,3,-2,1.05,0.6,1.4
YbNiO3,1.0,-1,Yb,Ni,O,3,3,-2,1.04,0.6,1.4
PbZrO3,1.0,-1,Pb,Zr,O,2,4,-2,1.49,0.72,1.4
SrPuO3,1.0,-1,Sr,Pu,O,2,4,-2,1.44,0.86,1.4
RbUO3,1.0,-1,Rb,U,O,1,5,-2,1.72,0.76,1.4
SmTiO3,1.0,-1,Sm,Ti,O,3,3,-2,1.24,0.67,1.4
SrTeO3,-1.0,-1,Sr,Te,O,2,4,-2,1.44,0.97,1.4
SrTiO3,1.0,-1,Sr,Ti,O,2,4,-2,1.44,0.6,1.4
YTmO3,-1.0,-1,Y,Tm,O,3,3,-2,1.08,0.88,1.4
